serial,metro,ownershp,taxincl,rent,hhincome,sex,age,birthqtr,marst,hispan,racamind,racasian,racblk,racwht,empstat,labforce,ftotinc,incwelfr,uhrswork,weight1
289706,3,1,0,0,66900,1,51,4,6,0,1,1,1,2,1,2,66900,0,40,0.5
289707,3,1,0,0,15100,2,86,2,5,0,1,1,1,2,3,1,15100,0,0,0.5
289707,3,1,0,0,15100,2,62,4,6,0,1,1,1,2,3,1,15100,0,0,0.5
289709,4,1,2,0,17200,2,40,3,4,0,1,1,1,2,3,1,17200,0,25,0.5
289709,4,1,2,0,17200,2,10,4,6,0,1,1,1,2,0,0,17200,99999,0,0.5
289709,4,1,2,0,17200,1,6,1,6,0,1,1,1,2,0,0,17200,99999,0,0.5
289710,4,1,2,0,41200,1,64,4,1,0,1,1,1,2,1,2,41200,0,50,0.5
289710,4,1,2,0,41200,2,61,3,1,0,1,1,1,2,3,1,41200,0,0,0.5
289710,4,1,2,0,41200,1,23,4,6,0,1,1,1,2,3,1,41200,0,5,0.5
289711,0,1,0,0,9300,2,53,4,4,0,2,1,2,1,3,1,9300,0,0,0.5
289712,3,2,0,810,40500,2,45,1,1,0,1,1,2,1,1,2,40500,0,40,0.5
289712,3,2,0,810,40500,1,41,1,1,0,1,1,2,1,1,2,40500,0,40,0.5
289715,4,1,0,0,58400,1,37,1,1,0,1,1,1,2,1,2,58400,0,40,0.5
289715,4,1,0,0,58400,2,37,1,1,0,1,1,1,2,3,1,58400,0,0,0.5
289715,4,1,0,0,58400,2,16,3,6,0,1,1,1,2,1,2,58400,0,25,0.5
289715,4,1,0,0,58400,1,14,4,6,0,1,1,1,2,0,0,58400,99999,0,0.5
289716,4,1,0,0,15400,2,77,2,6,0,1,1,1,2,3,1,15400,0,0,0.5
289717,4,2,0,780,50000,1,26,1,4,0,1,1,1,2,1,2,50000,0,50,0.5
289719,4,2,0,650,44000,1,30,4,1,0,1,1,2,1,1,2,44000,0,40,0.5
289719,4,2,0,650,44000,2,40,4,1,0,1,1,2,1,3,1,44000,0,0,0.5
289719,4,2,0,650,44000,2,18,2,6,0,1,1,2,1,3,1,44000,0,0,0.5
289719,4,2,0,650,44000,1,16,4,6,0,1,1,2,1,3,1,44000,0,0,0.5
289719,4,2,0,650,44000,1,5,4,6,0,1,1,2,1,0,0,44000,99999,0,0.5
289720,4,2,0,1100,6000,2,22,1,6,0,1,1,1,2,1,2,4000,0,35,0.5
289720,4,2,0,1100,6000,2,20,2,6,0,1,1,1,2,1,2,2000,0,15,0.5
289722,0,2,0,500,35000,2,55,3,6,0,1,1,2,1,1,2,35000,0,40,0.5
289723,3,1,0,0,33000,1,48,3,6,0,1,1,1,2,1,2,33000,0,45,0.5
289724,4,2,0,950,17200,2,69,1,5,0,1,1,2,1,3,1,17200,0,0,0.5
289724,4,2,0,950,17200,1,39,4,2,0,1,1,2,1,1,2,17200,0,15,0.5
289725,3,2,0,500,46500,2,60,2,5,0,1,1,2,1,3,1,46500,0,38,0.5
289725,3,2,0,500,46500,1,36,3,6,0,1,1,2,1,2,2,46500,0,30,0.5
289725,3,2,0,500,46500,2,27,4,6,0,1,1,2,1,1,2,46500,0,40,0.5
289726,3,1,0,0,56000,2,38,4,1,2,1,1,1,2,1,2,56000,0,40,0.5
289726,3,1,0,0,56000,1,36,4,1,3,1,1,1,2,1,2,56000,0,40,0.5
289726,3,1,0,0,56000,1,8,2,6,3,1,1,1,2,0,0,56000,99999,0,0.5
289727,3,1,2,0,48000,1,40,4,4,0,1,1,1,2,1,2,48000,0,40,0.5
289727,3,1,2,0,48000,2,10,2,6,0,1,1,1,2,0,0,48000,99999,0,0.5
289728,2,2,0,1900,68300,2,52,2,4,0,1,1,1,2,1,2,68300,0,45,0.5
289728,2,2,0,1900,68300,1,16,4,6,0,1,1,1,2,3,1,68300,0,20,0.5
289729,4,2,0,800,23000,1,42,3,6,0,1,1,1,2,1,2,23000,0,21,0.5
289735,3,1,0,0,60700,1,85,4,1,0,1,1,2,1,1,2,60700,0,25,0.5
289735,3,1,0,0,60700,2,66,2,1,0,1,1,2,1,1,2,60700,0,24,0.5
289737,3,2,0,800,60500,2,45,2,4,0,1,1,2,1,1,2,60500,0,40,0.5
289737,3,2,0,800,60500,2,18,4,6,0,1,1,2,1,1,2,60500,0,15,0.5
289737,3,2,0,800,60500,2,5,4,6,0,1,1,2,1,0,0,60500,99999,0,0.5
289739,2,1,2,0,60000,1,57,1,1,0,1,1,2,1,1,2,60000,0,60,0.5
289739,2,1,2,0,60000,2,54,3,1,0,1,1,1,2,3,1,60000,0,0,0.5
289739,2,1,2,0,60000,1,12,2,6,0,1,1,2,2,0,0,60000,99999,0,0.5
289740,0,1,2,0,61700,2,74,2,4,0,1,1,1,2,3,1,61700,0,0,0.5
289742,4,2,0,1300,32950,2,60,2,2,0,1,1,2,1,1,2,21000,0,40,0.5
289742,4,2,0,1300,32950,2,6,3,6,0,1,1,2,1,0,0,21000,99999,0,0.5
289742,4,2,0,1300,32950,2,60,1,6,0,1,1,2,1,3,1,11950,0,0,0.5
289746,4,1,0,0,18000,1,88,4,5,0,1,1,1,2,3,1,18000,0,0,0.5
289748,3,2,0,1500,59700,2,44,3,4,0,1,1,1,2,2,2,34700,0,40,0.5
289748,3,2,0,1500,59700,2,21,4,6,0,1,1,1,2,1,2,34700,0,20,0.5
289748,3,2,0,1500,59700,1,20,1,6,0,1,1,1,2,1,2,25000,0,40,0.5
289753,4,1,2,0,73300,1,62,1,1,0,1,1,1,2,3,1,73300,0,0,0.5
289753,4,1,2,0,73300,2,59,2,1,0,1,1,1,2,1,2,73300,0,40,0.5
289753,4,1,2,0,73300,2,31,2,6,0,1,1,1,2,1,2,73300,0,40,0.5
289753,4,1,2,0,73300,2,3,3,6,0,1,1,1,2,0,0,73300,99999,0,0.5
289754,3,2,0,0,60000,2,39,1,6,0,1,1,2,1,1,2,60000,0,60,0.5
289755,0,1,0,0,39000,1,41,2,4,0,1,1,1,2,1,2,39000,0,40,0.5
289756,4,1,0,0,2600,1,73,3,6,0,1,1,1,2,3,1,2600,0,0,0.5
289757,3,1,0,0,25000,2,88,1,5,0,1,1,1,2,3,1,25000,0,0,0.5
289761,0,2,0,370,55000,2,39,1,6,0,1,1,2,1,1,2,55000,0,38,0.5
289763,4,1,0,0,52900,1,76,3,1,0,1,1,1,2,3,1,52900,0,0,0.5
289763,4,1,0,0,52900,2,63,3,1,0,1,1,1,2,1,2,52900,0,45,0.5
289764,4,2,0,900,49500,1,59,4,2,0,1,2,1,1,3,1,49500,0,40,0.5
289764,4,2,0,900,49500,1,20,2,6,0,1,2,1,1,3,1,49500,0,0,0.5
289768,3,1,2,0,33500,1,58,1,1,0,1,1,2,1,1,2,33500,0,20,0.5
289768,3,1,2,0,33500,2,68,2,1,0,1,1,2,1,1,2,33500,0,6,0.5
289770,0,1,0,0,27300,2,83,4,5,0,1,1,1,2,3,1,27300,0,0,0.5
289770,0,1,0,0,27300,2,60,3,6,0,1,1,1,2,1,2,27300,0,40,0.5
289771,3,1,2,0,32360,2,59,2,1,0,2,1,1,2,3,1,32360,0,0,0.5
289771,3,1,2,0,32360,1,65,4,1,0,1,1,1,2,1,2,32360,0,30,0.5
289772,1,1,0,0,50000,2,38,3,1,0,1,1,1,2,3,1,50000,0,0,0.5
289772,1,1,0,0,50000,1,40,3,1,0,1,1,1,2,1,2,50000,0,40,0.5
289772,1,1,0,0,50000,1,17,4,6,0,1,1,1,2,3,1,50000,0,0,0.5
289772,1,1,0,0,50000,1,15,4,6,0,1,1,1,2,0,0,50000,0,0,0.5
289772,1,1,0,0,50000,1,13,4,6,0,1,1,1,2,0,0,50000,99999,0,0.5
289773,0,1,2,0,57200,1,66,3,1,0,2,1,1,2,3,1,57200,0,0,0.5
289773,0,1,2,0,57200,2,64,1,1,0,1,1,1,2,1,2,57200,0,35,0.5
289774,0,1,2,0,19200,2,67,3,4,0,1,1,1,2,3,1,9000,0,0,0.5
289774,0,1,2,0,19200,1,66,3,4,0,1,1,1,2,3,1,9000,0,0,0.5
289775,0,2,0,300,14700,2,92,4,6,0,1,1,2,1,3,1,14700,0,0,0.5
289776,0,1,2,0,71000,1,41,3,1,0,1,1,1,2,1,2,71000,0,40,0.5
289776,0,1,2,0,71000,2,38,1,1,0,1,1,1,2,1,2,71000,0,40,0.5
289776,0,1,2,0,71000,1,9,4,6,0,1,1,1,2,0,0,71000,99999,0,0.5
289776,0,1,2,0,71000,2,7,2,6,0,1,1,1,2,0,0,71000,99999,0,0.5
289777,4,2,0,930,100000,2,26,2,4,0,1,2,1,1,1,2,50000,0,40,0.5
289777,4,2,0,930,100000,1,26,4,6,1,1,1,1,1,1,2,50000,0,40,0.5
289778,0,2,0,940,9600,2,47,3,4,0,1,1,1,2,1,2,9600,0,40,0.5
289779,0,2,0,430,14000,1,30,3,6,0,1,1,1,2,1,2,14000,0,10,0.5
289780,4,2,0,1500,51100,2,38,2,2,0,1,1,1,2,3,1,51100,0,30,0.5
289780,4,2,0,1500,51100,1,14,1,6,0,1,1,1,2,0,0,51100,99999,0,0.5
289780,4,2,0,1500,51100,2,11,4,6,0,1,1,1,2,0,0,51100,99999,0,0.5
289781,3,1,1,0,65300,1,67,2,1,0,1,1,1,2,1,2,65300,0,20,0.5
289781,3,1,1,0,65300,2,68,2,1,0,1,1,1,2,3,1,65300,0,0,0.5
289782,0,1,0,0,53000,1,68,2,1,0,1,1,1,2,1,2,53000,0,20,0.5
289782,0,1,0,0,53000,2,67,2,1,0,1,1,1,2,1,2,53000,0,20,0.5
289784,3,1,2,0,63700,1,74,3,4,0,1,1,2,1,1,2,63700,0,28,0.5
289785,4,2,0,650,59000,1,30,3,1,0,1,1,1,2,1,2,59000,0,45,0.5
289785,4,2,0,650,59000,2,26,1,1,0,1,1,1,2,1,2,59000,0,40,0.5
289786,0,1,0,0,18500,1,47,2,1,0,1,1,1,2,3,1,18500,6000,0,0.5
289786,0,1,0,0,18500,2,47,4,1,0,1,1,1,2,3,1,18500,500,0,0.5
289786,0,1,0,0,18500,2,15,3,6,0,1,1,1,2,0,0,18500,0,0,0.5
289786,0,1,0,0,18500,1,1,2,6,0,1,1,1,2,0,0,18500,99999,0,0.5
289790,3,1,0,0,45000,1,68,4,1,0,1,1,1,2,3,1,45000,0,0,0.5
289790,3,1,0,0,45000,2,64,3,1,0,1,1,1,2,3,1,45000,0,0,0.5
289790,3,1,0,0,45000,2,38,3,6,0,1,1,1,2,1,2,45000,0,42,0.5
289791,0,1,0,0,23200,2,21,2,4,0,1,1,1,2,1,2,23200,0,38,0.5
289791,0,1,0,0,23200,2,2,3,6,0,1,1,1,2,0,0,23200,99999,0,0.5
289792,1,1,0,0,19200,2,77,3,5,0,1,1,1,2,3,1,19200,0,0,0.5
289793,0,1,2,0,54000,2,39,3,1,0,1,1,1,2,1,2,54000,0,40,0.5
289793,0,1,2,0,54000,1,44,3,1,0,2,1,1,2,1,2,54000,0,40,0.5
289793,0,1,2,0,54000,2,19,4,6,0,2,1,1,2,1,2,54000,0,30,0.5
289793,0,1,2,0,54000,2,17,3,6,0,2,1,1,2,3,1,54000,0,0,0.5
289793,0,1,2,0,54000,2,7,4,6,0,2,1,1,2,0,0,54000,99999,0,0.5
289796,4,1,2,0,52200,1,51,4,2,0,1,1,2,1,3,1,52200,0,0,0.5
289797,4,1,2,0,40000,1,53,4,6,0,1,1,1,2,1,2,40000,0,40,0.5
289799,4,2,0,1400,24700,2,87,1,5,0,1,2,1,1,3,1,24700,0,0,0.5
289801,0,1,0,0,57600,1,78,3,1,0,1,1,1,2,3,1,57600,0,0,0.5
289801,0,1,0,0,57600,2,77,4,1,0,1,1,1,2,3,1,57600,0,0,0.5
